#{"t_start": 1719920786.521171, "env_id": "None"}
r,l,t
-287.0,100,0.933892
-441.0,100,0.991755
-1596.0,100,1.052622
-683.0,100,1.10395
11.0,66,1.141838
-1013.0,100,1.192913
742.0,50,1.217183
-1002.0,100,1.266166
-430.0,100,1.323675
-1123.0,100,1.372998
-573.0,100,1.425718
-1068.0,100,1.476024
-1387.0,100,1.531358
430.0,87,1.574428
-1453.0,100,1.629656
-2542.0,100,1.680812
-386.0,100,1.734937
1040.0,38,1.753865
-496.0,100,1.803297
721.0,49,1.83233
-694.0,100,1.883182
222.0,86,1.926015
